email;phone;device_id;ip
moralesdanielle@example.org;+1-691-355-3095;6f85a942-4165-2727-08ed-9374abe91140;105.172.164.195
rharris@example.com;8737107099;6e291445-1024-40a2-01a7-1c067746aad0;148.245.65.249
ryan63@example.com;657.415.6413x830;94054bc5-523c-74db-4aa4-f9cd4623bed5;37.129.144.165
aanderson@example.net;001-268-573-5190x067;dbd42cd5-3228-d77f-039a-9fcdea71cc0f;194.90.70.71
ramirezjennifer@example.net;+1-805-948-8282x361;cbdcb91f-f958-d7a5-8f6a-f41afe143d47;195.79.88.25
rodriguezjessica@example.org;670.545.0063;b6f981f7-d758-df31-5087-a2d711fe13b2;162.161.196.218
kelly53@example.net;001-569-304-5676;9038aeaa-916c-3ff5-633b-24c42ad3dea6;59.251.148.172
michael09@example.net;600.505.4599;5f53ea7d-b95d-84e4-9b47-9ed5ead1198d;141.81.113.48
spencersarah@example.net;990.527.7523;56e2a700-1351-f9e9-7713-e98cda2932ae;184.153.109.64
lorrainemcfarland@example.net;001-421-236-7826x84730;94351530-496b-28c5-d8f9-8d563f9cace7;215.154.22.195
matthew98@example.net;9726499066;880a85ac-7f27-ac50-c505-95b2727cfc34;194.163.34.109
iward@example.net;223.244.0940;095d6cc0-5880-ac15-cf6f-aa1c5b38db14;33.74.130.0
paynecarrie@example.com;(698)634-5157;e0e2c4dd-1979-e3b1-1339-743b82ae93ee;153.39.208.141
justin15@example.org;8622856314;afb2f5ba-22c5-e045-644f-ca2bffe76b21;189.148.21.242
zmora@example.net;+1-359-683-6890x0152;741cbbc4-0c39-320d-7bf3-68713ee47993;204.130.158.249
smithmatthew@example.org;(753)576-1340;631ae753-8af7-81cd-ffc3-0c2722e4af48;216.85.189.135
sjohnson@example.com;991-717-6538;30831093-0a70-8329-ee0b-1714f798e04b;205.253.223.243
autumn21@example.com;272-522-3701;7d4170fc-600e-74dd-b327-1742675cd923;198.97.123.124
masonjames@example.net;(847)892-1288;0c3c5fa5-e131-0e5c-23bf-97cc82cfa538;96.202.209.207
glopez@example.com;(975)608-0285x9050;a4563879-7a01-e302-1630-832af4f64904;168.77.37.29
moorehannah@example.net;+1-382-339-3533x445;7eb5075a-c4ef-20af-b5a7-e9ce889e92f4;217.92.181.98
wroberts@example.org;+1-412-840-5842x0152;c73ace3f-599c-f666-196e-d1090aff4ef0;31.99.150.246
amanda59@example.net;001-302-793-2662x563;fbaf40f2-d887-9f4f-287d-0a3c6fd78703;203.197.182.253
wfarrell@example.com;(935)656-6708x3192;7fae492f-60ac-20ea-7460-7baea5b87350;199.179.227.33
