email;phone;device_id;ip
isabel59@example.net;9965401350;95621d1f-b2ab-f47c-a058-8ea9dc9bfff0;157.4.142.37
uspence@example.com;(637)657-8992;164b9f36-f1f9-1cd5-247e-3e114f1c68ca;187.167.238.235
michael20@example.com;001-226-269-6033;46c26073-b8c4-cf49-e9a5-f2da0e8f5eac;181.31.65.254
jessicabaker@example.net;876-918-4712x50880;2e30a1fe-5cf2-b7b1-c2de-c6cb9c26d598;199.190.147.24
wdickson@example.org;896-336-5809;ebf2e489-a938-0c55-c151-5bd152a6fd19;195.56.193.253
mariacarter@example.net;688-233-2262x59069;6dee8b63-4c9c-86b0-3afa-529de127de72;164.103.143.145
nvillanueva@example.org;+1-248-969-7653x15393;7449f2c6-f27a-d893-6f6a-43d4ed6a1bfb;207.207.46.146
orush@example.com;371-381-3668x08093;a6980967-78ac-7300-7695-8344b21f9ca6;39.78.144.39
usmith@example.org;677-371-9620x9080;cce6c820-1694-60aa-e7aa-3a51ce11798d;129.71.70.252
karen37@example.org;676-956-9748;e92aec96-ac72-ec08-f3de-d95c3e203916;60.44.81.36
ryantorres@example.net;616-501-2135x05574;d485bd49-26e0-2420-0ac4-c4145b9b2396;207.100.10.77
unguyen@example.com;001-596-542-8385x5077;8ce91fb8-8135-9d00-cf6a-c4668effb0c5;81.1.107.120
tiffanygarcia@example.org;5092951249;51449640-1772-2328-fc77-982cf1b06cc7;55.234.34.18
darin09@example.org;(749)567-6801;69bab7b4-38d5-5c72-94e8-2af11f6a113e;71.86.225.149
jhoward@example.com;(481)595-4338x6751;4bd60115-3d98-1a33-81ec-29bc233bbbe4;213.144.153.81
jordancrystal@example.org;+1-848-698-0594x014;27c8ec50-3781-ca4c-c3c9-df6144c94822;159.212.236.29
jeremiah65@example.com;+1-938-802-2409x1983;84ab4099-66d0-447f-5f64-1ae5433826ed;194.145.7.220
kwoods@example.net;8789440364;8912144b-18bb-5d39-55e1-2f64447bc607;95.154.131.28
freemankenneth@example.net;+1-828-217-2879;24204db0-b559-5d33-629a-329b74f80c77;14.106.250.176
stevenhudson@example.net;001-229-651-7866;ae629fca-73ad-c701-68f7-7a4901132249;200.147.4.8
farrellsteven@example.com;598.905.7076;3ea6ecc9-8186-78c2-f9d2-0ea1c56f1ece;198.80.154.30
jennifer50@example.net;415-318-1658;123a7363-1ba4-020f-d1da-3af303ab16eb;190.75.32.185
