email;phone;device_id;ip
blewis@example.net;+1-443-259-0759x2789;81349d87-3b1b-e899-376e-7b0dd7df8273;199.163.200.103
alyssa74@example.org;771-858-7257x4443;d67a9e33-4976-8fc5-737e-c000c64c79b2;104.67.221.99
wgonzalez@example.com;637.986.1460;34216633-fb64-b502-9b81-6fa1a39061d2;177.69.155.117
jonathanwalker@example.net;001-742-303-5112x0582;1e48e2fd-c25c-0049-8726-5b14383119c6;162.229.225.244
youngandrew@example.net;+1-929-562-1519;5ee31f45-0545-8493-be39-87a23a6c3289;151.127.1.29
hortoneric@example.org;308-384-9331x8869;ab0e42b8-8204-3e82-46a1-6fe3a76cdf39;201.240.86.221
ginamartin@example.net;918.428.8596;d6a94b61-8cdf-f35f-2762-fa00579c72f5;42.172.49.182
wilsonpatricia@example.com;703-395-1082x4684;0a39d36e-b913-d2fb-8730-5e8737257ffa;149.0.214.161
williamlopez@example.org;335-277-7645x254;1c31bc69-b2ca-a3bd-7675-d8bce7b8f392;107.95.48.70
spowell@example.org;001-384-596-5608x873;3edd8106-b504-2802-b730-26da4ed7aa2a;199.152.113.188
pennyhughes@example.com;870-526-5944;3521907f-39f4-d8ec-2e4b-b31560b92351;19.236.150.223
nnelson@example.net;+1-371-431-5470x63575;396fab85-d148-9dd7-ff2d-4cade66478bf;218.0.57.228
jtran@example.org;253.973.2833x9205;efd5231e-ee69-6504-cd62-bba968dcc143;151.92.37.149
rogershoward@example.com;348-244-0972;581bbb52-260f-d375-a457-71051ed2e51b;209.53.161.89
donaldellison@example.net;552-401-2958;6913192b-e25d-ca70-10cf-3044177033ed;212.213.235.170
richchristina@example.net;(376)414-5228x40548;9c35ae20-c546-e4cd-b280-5bba96b9f670;160.71.37.120
jessica10@example.org;819-763-4682x918;c7a21e4a-e2df-0580-3d20-6d9ad4c31098;173.144.197.232
craigpatricia@example.com;+1-225-334-3016;2fbcadc8-f9f6-29b4-82ff-2b53818e8ae9;203.229.244.189
davischad@example.net;514.539.2024x9058;2b6ce1a9-082d-6c93-2fd3-51ead2f72ae6;193.224.11.184
stephen53@example.net;(581)798-3031;0fe5f472-2576-a33a-a06c-284a9562fd9e;174.178.137.36
